Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,4.21
Sumatera Utara,4.73
Sumatera Barat,4.36
Riau,4.55
Jambi,5.12
Sumatera Selatan,5.24
Bengkulu,4.31
Lampung,4.28
Kepulauan Bangka Belitung,4.4
Kepulauan Riau,5.06
DKI Jakarta,5.25
Jawa Barat,5.45
Jawa Tengah,5.31
DI Yogyakarta,5.15
Jawa Timur,5.34
Banten,5.03
Bali,4.84
Nusa Tenggara Barat,6.95
Nusa Tenggara Timur,3.08
Kalimantan Barat,5.07
Kalimantan Tengah,6.45
Kalimantan Selatan,5.11
Kalimantan Timur,4.48
Kalimantan Utara,5.32
Sulawesi Utara,5.42
Sulawesi Tengah,15.22
Sulawesi Selatan,5.1
Sulawesi Tenggara,5.53
Gorontalo,4.03
Sulawesi Barat,2.26
Maluku,5.31
Maluku Utara,22.94
Papua Barat,2.03
Papua Barat Daya,...
Papua,8.97
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
