Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,2.81
Sumatera Utara,2.61
Sumatera Barat,3.29
Riau,3.36
Jambi,3.7
Sumatera Selatan,3.58
Bengkulu,3.27
Lampung,2.77
Kepulauan Bangka Belitung,5.05
Kepulauan Riau,3.43
DKI Jakarta,3.55
Jawa Barat,3.74
Jawa Tengah,3.33
DI Yogyakarta,5.58
Jawa Timur,3.56
Banten,4.49
Bali,-2.46
Nusa Tenggara Barat,2.3
Nusa Tenggara Timur,2.52
Kalimantan Barat,4.8
Kalimantan Tengah,3.59
Kalimantan Selatan,3.48
Kalimantan Timur,2.55
Kalimantan Utara,3.99
Sulawesi Utara,4.16
Sulawesi Tengah,11.68
Sulawesi Selatan,4.64
Sulawesi Tenggara,4.1
Gorontalo,2.4
Sulawesi Barat,2.57
Maluku,3.63
Maluku Utara,16.79
Papua Barat,-0.51
Papua Barat Daya,...
Papua,15.16
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
