Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,3.29
Sumatera Utara,5.18
Sumatera Barat,5.27
Riau,2.18
Jambi,4.37
Sumatera Selatan,5.04
Bengkulu,5.28
Lampung,5.14
Kepulauan Bangka Belitung,4.1
Kepulauan Riau,4.98
DKI Jakarta,5.87
Jawa Barat,5.66
Jawa Tengah,5.25
DI Yogyakarta,5.05
Jawa Timur,5.57
Banten,5.28
Bali,6.33
Nusa Tenggara Barat,5.81
Nusa Tenggara Timur,5.12
Kalimantan Barat,5.2
Kalimantan Tengah,6.35
Kalimantan Selatan,4.4
Kalimantan Timur,-0.38
Kalimantan Utara,3.55
Sulawesi Utara,6.16
Sulawesi Tengah,9.94
Sulawesi Selatan,7.42
Sulawesi Tenggara,6.51
Gorontalo,6.52
Sulawesi Barat,6.01
Maluku,5.73
Maluku Utara,5.77
Papua Barat,4.52
Papua,9.14
