Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,4.14
Sumatera Utara,5.22
Sumatera Barat,5.01
Riau,2.81
Jambi,4.35
Sumatera Selatan,5.69
Bengkulu,4.94
Lampung,5.26
Kepulauan Bangka Belitung,3.32
Kepulauan Riau,4.83
DKI Jakarta,5.82
Jawa Barat,5.02
Jawa Tengah,5.36
DI Yogyakarta,6.59
Jawa Timur,5.53
Banten,5.26
Bali,5.6
Nusa Tenggara Barat,3.9
Nusa Tenggara Timur,5.25
Kalimantan Barat,5.09
Kalimantan Tengah,6.12
Kalimantan Selatan,4.09
Kalimantan Timur,4.7
Kalimantan Utara,6.89
Sulawesi Utara,5.65
Sulawesi Tengah,8.83
Sulawesi Selatan,6.91
Sulawesi Tenggara,6.5
Gorontalo,6.4
Sulawesi Barat,5.56
Maluku,5.41
Maluku Utara,6.25
Papua Barat,2.66
Papua,-15.74
,
Catatan,
Perbedaan antara jumlah PDRB 34 Provinsi dan PDB Indonesia antara lain disebabkan oleh diskrepansi statistik.Data 2021: Angka sementaraData 2022: Angka sangat sementara,
The difference between the total of GRDP of 34 Provinces and the GDP of Indonesia due to the statistical discrepancies.Data 2021: Preliminary figuresData 2022: Very Preliminary figures,
