Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,4.23
Sumatera Utara,5.01
Sumatera Barat,4.62
Riau,4.21
Jambi,4.67
Sumatera Selatan,5.08
Bengkulu,4.28
Lampung,4.55
Kepulauan Bangka Belitung,4.38
Kepulauan Riau,5.16
DKI Jakarta,4.96
Jawa Barat,5
Jawa Tengah,4.97
DI Yogyakarta,5.07
Jawa Timur,4.95
Banten,4.81
Bali,5.71
Nusa Tenggara Barat,1.8
Nusa Tenggara Timur,3.47
Kalimantan Barat,4.46
Kalimantan Tengah,4.14
Kalimantan Selatan,4.84
Kalimantan Timur,6.22
Kalimantan Utara,4.94
Sulawesi Utara,5.48
Sulawesi Tengah,11.91
Sulawesi Selatan,4.51
Sulawesi Tenggara,5.35
Gorontalo,4.5
Sulawesi Barat,5.23
Maluku,5.21
Maluku Utara,20.49
Papua Barat,5.18
Papua Barat Daya,1.82
Papua,4.22
Papua Selatan,4.23
Papua Tengah,5.95
Papua Pegunungan,4.78
