Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,-0.73
Sumatera Utara,5.1
Sumatera Barat,5.53
Riau,0.22
Jambi,4.21
Sumatera Selatan,4.42
Bengkulu,5.13
Lampung,5.13
Kepulauan Bangka Belitung,4.08
Kepulauan Riau,6.02
DKI Jakarta,5.91
Jawa Barat,5.05
Jawa Tengah,5.47
DI Yogyakarta,4.95
Jawa Timur,5.44
Banten,5.45
Bali,6.03
Nusa Tenggara Barat,21.76
Nusa Tenggara Timur,4.92
Kalimantan Barat,4.88
Kalimantan Tengah,7.01
Kalimantan Selatan,3.82
Kalimantan Timur,-1.2
Kalimantan Utara,3.4
Sulawesi Utara,6.13
Sulawesi Tengah,15.5
Sulawesi Selatan,7.19
Sulawesi Tenggara,6.88
Gorontalo,6.22
Sulawesi Barat,7.31
Maluku,5.48
Maluku Utara,6.1
Papua Barat,4.15
Papua,7.35
"Jumlah 34 Provinsi
Total of 34 Provinces",4.88
