Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,-0.37
Sumatera Utara,-1.07
Sumatera Barat,-1.61
Riau,-1.13
Jambi,-0.51
Sumatera Selatan,-0.11
Bengkulu,-0.02
Lampung,-1.66
Kepulauan Bangka Belitung,-2.29
Kepulauan Riau,-3.8
DKI Jakarta,-2.39
Jawa Barat,-2.52
Jawa Tengah,-2.65
DI Yogyakarta,-2.67
Jawa Timur,-2.33
Banten,-3.39
Bali,-9.34
Nusa Tenggara Barat,-0.62
Nusa Tenggara Timur,-0.84
Kalimantan Barat,-1.82
Kalimantan Tengah,-1.41
Kalimantan Selatan,-1.82
Kalimantan Timur,-2.9
Kalimantan Utara,-1.09
Sulawesi Utara,-0.99
Sulawesi Tengah,4.86
Sulawesi Selatan,-0.71
Sulawesi Tenggara,-0.65
Gorontalo,-0.02
Sulawesi Barat,-2.34
Maluku,-0.91
Maluku Utara,5.39
Papua Barat,-0.76
Papua Barat Daya,...
Papua,2.39
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
