Provinsi,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010
Aceh,4.18
Sumatera Utara,5.12
Sumatera Barat,5.3
Riau,2.66
Jambi,4.6
Sumatera Selatan,5.51
Bengkulu,4.98
Lampung,5.16
Kepulauan Bangka Belitung,4.47
Kepulauan Riau,1.98
DKI Jakarta,6.2
Jawa Barat,5.33
Jawa Tengah,5.26
DI Yogyakarta,5.26
Jawa Timur,5.46
Banten,5.75
Bali,5.56
Nusa Tenggara Barat,0.09
Nusa Tenggara Timur,5.11
Kalimantan Barat,5.17
Kalimantan Tengah,6.73
Kalimantan Selatan,5.28
Kalimantan Timur,3.13
Kalimantan Utara,6.8
Sulawesi Utara,6.31
Sulawesi Tengah,7.1
Sulawesi Selatan,7.21
Sulawesi Tenggara,6.76
Gorontalo,6.73
Sulawesi Barat,6.39
Maluku,5.82
Maluku Utara,7.67
Papua Barat,4.02
Papua,4.64
